tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa/km2),,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,3.69,17939.59095,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,1.57,30423.32421,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,1.57,29669.81132,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,1.5,19263.71799,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,3.87,18901.29199,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,3.15,17675.51941,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,2.28,17322.47614,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,5.71,15639.61124,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,5.98,14861.87291,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4.97,20867.54314,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,4.9,13480.73511,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,8.67,10486.61744,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,2.33,33321.03796,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,0.97,21118.86676,,
2019,PROVINSI DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,0.64,49624.09563,,
